stop_id,stop_name,stop_lat,stop_lon
010044G,44 Githurai,-1.195514202,36.9026953
0100AAA,Sahala,-1.206232309,36.79068089
0100ACP,PCEA,-1.184212893,36.90751523
0100AEL,Membley Stage,-1.160296798,36.92236662
0100AL2,Lane 26,-1.202838153,36.7692849
0100AMY,Kwa Nyama,-1.204494238,36.78601384
0100ANJ,Kwa Kiwanja,-1.171676248,36.91650867
0100A.P,A.P.,-1.178289056,36.91195965
0100APC,PCEA,-1.188633174,36.73722178
0100ARI,Kwa Daktari,-1.185328692,36.73338085
0100ASD,Ambassadors,-1.19794,36.75537
0100ASW,Car Wash,-1.204816103,36.78255916
0100AWA,Wataalam,-1.149612397,36.94740772
0100BKH,Bypass Stage Kiambu,-1.215780973,36.83506072
0100BKK,Kabuku,-1.154729247,36.67456269
0100CAR,Kwa Machiri,-1.17373082,36.71296388
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464
0100CTC,Christco,-1.19626,36.75305
0100EIL,Milele,-1.200815767,36.76228434
0100EIO,Sovereign,-1.169498205,36.70019388
0100ESN,Dispensary,-1.190204948,36.73913687
0100GAO,Kahigo,-1.203959316,36.77340478
0100HYD,Shady,-1.19387573,36.74975574
0100IKW,Kwa Viti,-1.186262101,36.73443764
0100ILL,Milele,-1.204420656,36.77496046
0100ITS,Gwaiti,-1.18686676,36.73514843
0100JO.,O.J,-1.152970523,36.92023158
0100JOA,Kianjogu,-1.183204383,36.73027486
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817
0100KMU,Kwa Sukuma,-1.179068416,36.72405213
0100KTC,Quickmart,-1.206720471,36.78343892
0100KWH,Kwa Chief,-1.216485232,36.82175428
0100LDL,Redhill,-1.169991821,36.7014733
0100LHH,Jamhuri School,-1.27250433,36.82257503
0100..M,K.M.,-1.167726517,36.91900849
0100MCY,Mothers Mercys/GD,-1.179957,36.725401
0100MFB,Mifereji/God's Ability,-1.20213,36.76693
0100MOU,Mugumo,-1.209636211,36.79986477
0100MRC,Movers/Rosslyn Centre,-1.210947633,36.79020882
0100NCE,Container,-1.20452258,36.77553982
0100NDT,Ndenderu Junction,-1.19233,36.7437
0100NRP,Round About Eastern Bypass,-1.155235,36.926119
0100ONO,Ngomongo,-1.202822059,36.89014524
0100OOA,Kwa Soko,-1.149789423,36.94882929
0100OTN,Hilton,-1.150637001,36.94259048
0100OTS,Posta,-1.170669078,36.70802593
0100POA,Pa Mutoori,-1.202194422,36.76717132
0100PSA,La Philla Carwash,-1.190634102,36.90608829
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602
0100RCN,Ruaka Catholic Church Entrance,-1.20614,36.78059
0100RES,Runda Estate Entrance,-1.21873,36.80177
0100RJI,Ruiru Road Junction,-1.152105331,36.9199419
0100RKH,Runda/Karura Carwash,-1.22091,36.80144
0100RRD,Ruaka Redeemed Gospel Church,-1.20651,36.78206
0100RRJ,Redhill Road Junction,-1.23398,36.80339
0100RRP,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468
0100RUD,Runda Road,-1.215553,36.814957
0100RUI,Marurui/JuaKali,-1.211281747,36.87443823
