,PV Production (W/m2),Performance Ratio,Capacity Factor,Temperature (C),POA Irradiance (W/m2)
2020-01-01 00:00:00,0.0,,0.0,19.4,0.0
2020-01-01 01:00:00,0.0,,0.0,19.11,0.0
2020-01-01 02:00:00,0.0,,0.0,18.99,0.0
2020-01-01 03:00:00,0.0,,0.0,18.21,0.0
2020-01-01 04:00:00,0.0,,0.0,18.22,0.0
2020-01-01 05:00:00,0.0,,0.0,18.05,0.0
2020-01-01 06:00:00,0.0,,0.0,17.94,0.0
2020-01-01 07:00:00,20.115790472155776,0.838856983826346,0.0914354112370717,23.945999999999998,109.0
2020-01-01 08:00:00,62.20573352398483,0.7832285371594445,0.28275333419993104,40.594539999999995,361.01
2020-01-01 09:00:00,96.05540228582176,0.7240600735237449,0.4366154649355534,58.30254000000001,603.01
2020-01-01 10:00:00,121.07746903333714,0.6862160471436943,0.5503521319697142,69.62854,802.01
2020-01-01 11:00:00,137.89504791023413,0.6577010443953851,0.626795672319246,78.16254,953.01
2020-01-01 12:00:00,146.6392788621626,0.639056362495272,0.6665421766461936,83.74254,1043.01
2020-01-01 13:00:00,142.2529067482267,0.644021594986951,0.6466041215828486,82.25654,1004.01
2020-01-01 14:00:00,131.63303904086777,0.6618643550849084,0.598331995640308,76.91654,904.01
2020-01-01 15:00:00,114.51308822157594,0.6885015242798371,0.5205140373707997,68.94454,756.01
2020-01-01 16:00:00,88.81963231950127,0.7248085338724233,0.4037256014522785,58.078540000000004,557.01
2020-01-01 17:00:00,14.804654223608875,0.8107696727058529,0.06729388283458579,32.352000000000004,83.0
2020-01-01 18:00:00,6.332255222449832,0.8223708081103678,0.02878297828386287,28.88,35.0
2020-01-01 19:00:00,0.0,,0.0,26.07,0.0
2020-01-01 20:00:00,0.0,,0.0,25.21,0.0
2020-01-01 21:00:00,0.0,,0.0,22.53,0.0
2020-01-01 22:00:00,0.0,,0.0,21.59,0.0
2020-01-01 23:00:00,0.0,,0.0,20.62,0.0
2020-01-02 00:00:00,0.0,,0.0,19.9,0.0
2020-01-02 01:00:00,0.0,,0.0,19.47,0.0
2020-01-02 02:00:00,0.0,,0.0,19.32,0.0
2020-01-02 03:00:00,0.0,,0.0,19.33,0.0
2020-01-02 04:00:00,0.0,,0.0,18.45,0.0
2020-01-02 05:00:00,0.0,,0.0,18.43,0.0
2020-01-02 06:00:00,0.0,,0.0,18.43,0.0
2020-01-02 07:00:00,14.272952669784935,0.8425591894796302,0.06487705758993152,22.838,77.0
2020-01-02 08:00:00,29.983358590112353,0.8160957700085016,0.1362879935914198,30.758,167.0
2020-01-02 09:00:00,71.81267877632307,0.7591192259653602,0.32642126716510483,47.81,430.0
2020-01-02 10:00:00,74.55076057760249,0.7530379856323484,0.33886709353455674,49.629999999999995,450.0
2020-01-02 11:00:00,118.40443532081645,0.6926666392934155,0.5382019787309839,67.69800000000001,777.0
2020-01-02 12:00:00,129.20764556778425,0.6712085484040741,0.5873074798535648,74.12,875.0
2020-01-02 13:00:00,129.9572542684833,0.6659693259633253,0.5907147921294695,75.688,887.0
2020-01-02 14:00:00,112.78416369733766,0.6899802012561951,0.512655289533353,68.502,743.0
2020-01-02 15:00:00,89.63264264321097,0.7223778420632735,0.4074211029236862,58.806000000000004,564.0
2020-01-02 16:00:00,75.79844023654759,0.7441433363101079,0.34453836471157995,52.292,463.0
2020-01-02 17:00:00,15.3630264936898,0.8119992861358244,0.0698319386076809,31.984,86.0
2020-01-02 18:00:00,6.513864849140362,0.822457682972268,0.029608476587001647,28.854,36.0
2020-01-02 19:00:00,0.0,,0.0,26.01,0.0
2020-01-02 20:00:00,0.0,,0.0,24.23,0.0
2020-01-02 21:00:00,0.0,,0.0,22.33,0.0
2020-01-02 22:00:00,0.0,,0.0,21.47,0.0
2020-01-02 23:00:00,0.0,,0.0,20.77,0.0
2020-01-03 00:00:00,0.0,,0.0,20.35,0.0
2020-01-03 01:00:00,0.0,,0.0,19.79,0.0
2020-01-03 02:00:00,0.0,,0.0,20.03,0.0
2020-01-03 03:00:00,0.0,,0.0,19.76,0.0
2020-01-03 04:00:00,0.0,,0.0,19.09,0.0
2020-01-03 05:00:00,0.0,,0.0,19.17,0.0
2020-01-03 06:00:00,0.0,,0.0,18.81,0.0
2020-01-03 07:00:00,18.618762183623897,0.8379280910721826,0.08463073719829044,24.224,101.0
2020-01-03 08:00:00,43.00124536653979,0.8010664188997726,0.1954602062115445,35.256,244.0
2020-01-03 09:00:00,33.71163685964269,0.8022759842846903,0.15323471299837585,34.894,191.0
2020-01-03 10:00:00,112.68644899113046,0.700699222678339,0.5122111317778657,65.29400000000001,731.0
2020-01-03 11:00:00,123.47996921600193,0.6803304089035919,0.5612725873454634,71.39,825.0
2020-01-03 12:00:00,112.54734549687043,0.6941368292640338,0.5115788431675928,67.25800000000001,737.0
2020-01-03 13:00:00,77.83543401672827,0.7386167585569204,0.35379742734876485,53.946,479.0
2020-01-03 14:00:00,106.35194290783562,0.6985808125843117,0.48341792230834374,65.92800000000001,692.0
2020-01-03 15:00:00,91.61518205706987,0.7179873201964724,0.41643264571395394,60.120000000000005,580.0
2020-01-03 16:00:00,77.6040687508621,0.7379618557518267,0.35274576704937316,54.141999999999996,478.0
2020-01-03 17:00:00,15.900777879242833,0.8120928436794091,0.07227626308746742,31.956,89.0
2020-01-03 18:00:00,6.7034002699624935,0.8235135466784389,0.030470001227102243,28.538,37.0
2020-01-03 19:00:00,0.0,,0.0,25.28,0.0
2020-01-03 20:00:00,0.0,,0.0,24.82,0.0
2020-01-03 21:00:00,0.0,,0.0,24.24,0.0
2020-01-03 22:00:00,0.0,,0.0,23.68,0.0
2020-01-03 23:00:00,0.0,,0.0,23.25,0.0
2020-01-04 00:00:00,0.0,,0.0,22.24,0.0
2020-01-04 01:00:00,0.0,,0.0,22.13,0.0
2020-01-04 02:00:00,0.0,,0.0,21.73,0.0
2020-01-04 03:00:00,0.0,,0.0,20.05,0.0
2020-01-04 04:00:00,0.0,,0.0,19.71,0.0
2020-01-04 05:00:00,0.0,,0.0,19.77,0.0
2020-01-04 06:00:00,0.0,,0.0,19.95,0.0
2020-01-04 07:00:00,10.540970991718616,0.8405877983826647,0.04791350450781189,23.428,57.0
2020-01-04 08:00:00,37.36833304969358,0.8088383776989952,0.16985605931678902,32.93,210.0
2020-01-04 09:00:00,53.8446682495839,0.7869726432268912,0.24474849204356317,39.474000000000004,311.0
2020-01-04 10:00:00,103.26370743144403,0.7210145749996092,0.4693804883247456,59.214,651.0
2020-01-04 11:00:00,118.71638169897219,0.6953864907390592,0.53961991681351,66.884,776.0
2020-01-04 12:00:00,125.63392542948505,0.6814597821082937,0.5710632974067502,71.052,838.0
2020-01-04 13:00:00,118.18925243595692,0.6896327018085945,0.5372238747088951,68.606,779.0
2020-01-04 14:00:00,123.88055922824609,0.6784258446234726,0.5630934510374822,71.96000000000001,830.0
2020-01-04 15:00:00,94.31161043610176,0.7192770777616059,0.4286891383459171,59.733999999999995,596.0
2020-01-04 16:00:00,65.13158128821486,0.7571678829134487,0.29605264221915845,48.394000000000005,391.0
2020-01-04 17:00:00,22.35208908551333,0.8063524201123136,0.1016004049341515,33.674,126.0
2020-01-04 18:00:00,6.712103794588555,0.8245827757479797,0.03050956270267525,28.218,37.0
2020-01-04 19:00:00,0.0,,0.0,24.85,0.0
2020-01-04 20:00:00,0.0,,0.0,24.65,0.0
2020-01-04 21:00:00,0.0,,0.0,23.8,0.0
2020-01-04 22:00:00,0.0,,0.0,23.39,0.0
2020-01-04 23:00:00,0.0,,0.0,21.74,0.0
2020-01-05 00:00:00,0.0,,0.0,20.91,0.0
2020-01-05 01:00:00,0.0,,0.0,20.53,0.0
2020-01-05 02:00:00,0.0,,0.0,20.16,0.0
2020-01-05 03:00:00,0.0,,0.0,20.2,0.0
2020-01-05 04:00:00,0.0,,0.0,20.28,0.0
2020-01-05 05:00:00,0.0,,0.0,19.8,0.0
2020-01-05 06:00:00,0.0,,0.0,19.65,0.0
2020-01-05 07:00:00,7.261324132102383,0.8463081739047067,0.03300601878228356,21.716,39.0
2020-01-05 08:00:00,39.65109407669258,0.8046082401926253,0.1802322458031481,34.196,224.0
2020-01-05 09:00:00,65.96264880461597,0.7648730148958253,0.29983022183916347,46.08800000000001,392.0
2020-01-05 10:00:00,115.15984891546833,0.6960730026285212,0.5234538587066743,66.67854,752.01
2020-01-05 11:00:00,125.85252797621627,0.6753919071386512,0.5720569453464376,72.86800000000001,847.0
2020-01-05 12:00:00,139.77170368373694,0.6482851459017438,0.6353259258351679,80.98054,980.01
2020-01-05 13:00:00,111.90987259580034,0.6911429878693203,0.5086812390718197,68.154,736.0
2020-01-05 14:00:00,114.16176257379631,0.6863982838732342,0.518917102608165,69.574,756.0
2020-01-05 15:00:00,90.36077480881926,0.7180608296950036,0.41073079458554207,60.098,572.0
2020-01-05 16:00:00,74.07802099255021,0.7400401697557464,0.3367182772388646,53.519999999999996,455.0
2020-01-05 17:00:00,14.435887943468671,0.8100947218557054,0.06561767247031214,32.554,81.0
2020-01-05 18:00:00,6.505925823299024,0.8214552807195737,0.029572390105904654,29.154,36.0
2020-01-05 19:00:00,0.0,,0.0,25.63,0.0
2020-01-05 20:00:00,0.0,,0.0,24.73,0.0
2020-01-05 21:00:00,0.0,,0.0,24.05,0.0
2020-01-05 22:00:00,0.0,,0.0,25.38,0.0
2020-01-05 23:00:00,0.0,,0.0,24.83,0.0
2020-01-06 00:00:00,0.0,,0.0,24.32,0.0
2020-01-06 01:00:00,0.0,,0.0,23.83,0.0
2020-01-06 02:00:00,0.0,,0.0,22.28,0.0
2020-01-06 03:00:00,0.0,,0.0,21.35,0.0
