status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
at_terminal,0.0,20.0,0.0,0.0,POINT (36.82365865 -1.274190277),0110IRT,10114111
travelling,0.09915445772225691,23.0,0.09915445772225691,43.0,"LINESTRING (36.8234413862 -1.27403318882, 36.8233662844 -1.27404928207, 36.8233019114 -1.27401709557, 36.8231463432 -1.27366304398, 36.8229746819 -1.27335190773, 36.8229725674987 -1.2733484362111267)",,10114111
at_stop,0.0,20.0,0.09915445772225691,43.0,POINT (36.82297 -1.27335),0101JHS,10114111
travelling,0.43156004316121704,56.0,0.5307145008834739,119.0,"LINESTRING (36.8229725674987 -1.2733484362111267, 36.821918 -1.271617, 36.82172 -1.271405, 36.8206787109 -1.27064824104, 36.820499 -1.270434, 36.82049730979417 -1.270426233101788)",,10114111
at_stop,0.0,20.0,0.5307145008834739,119.0,POINT (36.82048 -1.27043),0101STP,10114111
travelling,0.09241467836332244,20.0,0.6231291792467963,159.0,"LINESTRING (36.82049730979417 -1.270426233101788, 36.820415 -1.270048, 36.82041049 -1.26961290836, 36.82040977044306 -1.2695994765851677)",,10114111
at_stop,0.0,20.0,0.6231291792467963,159.0,POINT (36.8204 -1.2696),0111SPS,10114111
travelling,0.2138946477275681,32.0,0.8370238269743644,211.0,"LINESTRING (36.82040977044306 -1.2695994765851677, 36.8203943968 -1.26931250095, 36.820448041 -1.26901745796, 36.820652 -1.268569, 36.820915 -1.268265, 36.82126480195756 -1.2679835398130672)",,10114111
at_stop,0.0,20.0,0.8370238269743644,211.0,POINT (36.82127 -1.26799),0101WBR,10114111
travelling,0.3007022526588874,42.0,1.1377260796332518,273.0,"LINESTRING (36.82126480195756 -1.2679835398130672, 36.821304 -1.267952, 36.822456 -1.267272, 36.822777 -1.267008, 36.823093 -1.266643, 36.82332387616399 -1.266289051240985)",,10114111
at_stop,0.0,20.0,1.1377260796332518,273.0,POINT (36.82331 -1.26628),0101AGA,10114111
travelling,0.20919804096039837,32.0,1.3469241205936502,325.0,"LINESTRING (36.82332387616399 -1.266289051240985, 36.8233287334 -1.26628160477, 36.824097 -1.265158, 36.82432471134274 -1.264692303703483)",,10114111
at_stop,0.0,20.0,1.3469241205936502,325.0,POINT (36.82432 -1.26469),0111OLB,10114111
travelling,0.39259312006077757,52.0,1.7395172406544277,397.0,"LINESTRING (36.82432471134274 -1.264692303703483, 36.8243318796 -1.26467764378, 36.8257641792 -1.26148581505, 36.8257762358645 -1.261456362344081)",,10114111
at_stop,0.0,20.0,1.7395172406544277,397.0,POINT (36.82573199 -1.26143825),0111TNN,10114111
travelling,0.10651760772115611,21.0,1.8460348483755837,438.0,"LINESTRING (36.8257762358645 -1.261456362344081, 36.8261396885 -1.26056849957, 36.82614098079414 -1.2605657543180142)",,10114111
at_stop,0.0,20.0,1.8460348483755837,438.0,POINT (36.82615 -1.26057),0101CPK,10114111
travelling,0.33979824798295677,45.0,2.1858330963585404,503.0,"LINESTRING (36.82614098079414 -1.2605657543180142, 36.8271321058 -1.25846028328, 36.827121377 -1.25817596912, 36.8269228935 -1.25777900219, 36.82691578303868 -1.2577666665606158)",,10114111
at_stop,0.0,20.0,2.1858330963585404,503.0,POINT (36.82691 -1.25777),0111RHK,10114111
travelling,0.17848302421423407,29.0,2.3643161205727745,552.0,"LINESTRING (36.82691578303868 -1.2577666665606158, 36.826275 -1.256655, 36.826109405791996 -1.2563714204872574)",,10114111
at_stop,0.0,20.0,2.3643161205727745,552.0,POINT (36.82609141 -1.256381929),0111MAO,10114111
travelling,1.5639441868554511,109.0,3.928260307428226,681.0,"LINESTRING (36.826109405791996 -1.2563714204872574, 36.826107502 -1.25636816025, 36.8259680271 -1.25592827797, 36.825718 -1.255609, 36.825523 -1.255465, 36.824978 -1.25514, 36.823956 -1.254867, 36.823166 -1.254466, 36.821648 -1.253378, 36.820538 -1.252678, 36.820084 -1.252279, 36.819695 -1.252051, 36.819378 -1.251991, 36.818527 -1.252087, 36.817993 -1.252084, 36.817684 -1.252007, 36.817455 -1.251802, 36.817455 -1.251569, 36.817589 -1.251438, 36.817924 -1.251352, 36.8195414543 -1.25054776669, 36.8201905489 -1.25032782555, 36.8206304312 -1.25023663044, 36.82073240530297 -1.2502264330297033)",,10114111
at_stop,0.0,20.0,3.928260307428226,681.0,POINT (36.82072967 -1.25019908),0111MRE,10114111
travelling,0.8244775905620965,83.0,4.752737897990322,784.0,"LINESTRING (36.82073240530297 -1.2502264330297033, 36.8209522963 -1.25020444393, 36.8212097883 -1.25010788441, 36.8212473392 -1.2500166893, 36.8211936951 -1.24983966351, 36.8211078644 -1.24967336655, 36.8206840754 -1.24944806099, 36.8197023869 -1.24913156033, 36.818714 -1.248972, 36.818012 -1.248755, 36.817013 -1.248585, 36.816704 -1.248486, 36.81649 -1.248356, 36.816116 -1.247946, 36.81569163274704 -1.2469701516593121)",,10114111
at_stop,0.0,20.0,4.752737897990322,784.0,POINT (36.8156 -1.24701),0111BEK,10114111
travelling,1.1295389782148264,127.0,5.8822768762051485,931.0,"LINESTRING (36.81569163274704 -1.2469701516593121, 36.8156844378 -1.24695360661, 36.814831 -1.244821, 36.814724 -1.244626, 36.814182 -1.244025, 36.813988 -1.24374, 36.813496 -1.241318, 36.81337 -1.240972, 36.813179 -1.240657, 36.812145 -1.239751, 36.81061517672372 -1.238589665102359)",,10114111
at_stop,0.0,20.0,5.8822768762051485,931.0,POINT (36.81054533 -1.238681674),0111TUN,10114111
travelling,0.9128279475299852,109.0,6.795104823735134,1060.0,"LINESTRING (36.81061517672372 -1.238589665102359, 36.810566783 -1.23855292797, 36.809257865 -1.23765170574, 36.808899 -1.23747, 36.804386 -1.235138, 36.803909 -1.234813, 36.803574 -1.234433)",,10114111
at_stop,0.0,20.0,6.795104823735134,1060.0,POINT (36.80346429 -1.234529614),0111RHR,10114111
travelling,0.6640543277953359,80.0,7.45915915153047,1160.0,"LINESTRING (36.803574 -1.234433, 36.8034267426 -1.23417019844, 36.803158 -1.233347, 36.803062 -1.232625, 36.803192 -1.232062, 36.804134 -1.2294, 36.804399387320366 -1.2287475481733876)",,10114111
at_stop,0.0,20.0,7.45915915153047,1160.0,POINT (36.80443 -1.22876),0111VMA,10114111
travelling,1.0593863777755799,112.0,8.51854552930605,1292.0,"LINESTRING (36.804399387320366 -1.2287475481733876, 36.8044084311 -1.22872531414, 36.804886 -1.227575, 36.805012 -1.226988, 36.804993 -1.226454, 36.80431 -1.224511, 36.803993 -1.224019, 36.803871 -1.223889, 36.8028527498 -1.22328042984, 36.80238 -1.223004, 36.801968 -1.222715, 36.801661849 -1.22245967388, 36.8014204502 -1.22195541859, 36.8013238907 -1.22147798538, 36.8013775349 -1.22083961964, 36.80138159348049 -1.2208268783204463)",,10114111
at_stop,0.0,20.0,8.51854552930605,1292.0,POINT (36.80136 -1.22082),0111KRU,10114111
travelling,0.2544665392021386,37.0,8.773012068508187,1349.0,"LINESTRING (36.80138159348049 -1.2208268783204463, 36.801781 -1.219573, 36.8018 -1.219204, 36.801711479443185 -1.2185954211718995)",,10114111
at_stop,0.0,20.0,8.773012068508187,1349.0,POINT (36.80168 -1.2186),0101REE,10114111
travelling,0.21284241760773828,32.0,8.985854486115926,1401.0,"LINESTRING (36.801711479443185 -1.2185954211718995, 36.801704 -1.218544, 36.80151 -1.218146, 36.801132 -1.217642, 36.800522178198754 -1.217131869578787)",,10114111
at_stop,0.0,20.0,8.985854486115926,1401.0,POINT (36.80042267 -1.217250824),0101ROR,10114111
travelling,0.15204377187030269,26.0,9.137898257986228,1447.0,"LINESTRING (36.800522178198754 -1.217131869578787, 36.8004655838 -1.21708452702, 36.79935313223741 -1.2164221126915966)",,10114111
at_stop,0.0,20.0,9.137898257986228,1447.0,POINT (36.79930687 -1.216499805),0101ROK,10114111
travelling,0.5469507982154858,69.0,9.684849056201713,1536.0,"LINESTRING (36.79935313223741 -1.2164221126915966, 36.7992854118 -1.21638178825, 36.798557 -1.215959, 36.798088 -1.215749, 36.797009 -1.215486, 36.7966890335 -1.21538937092, 36.79485716357181 -1.2144919241218906)",,10114111
at_stop,0.0,20.0,9.684849056201713,1536.0,POINT (36.79482222 -1.214563251),0111ROT,10114111
travelling,0.6345787591744052,79.0,10.319427815376118,1635.0,"LINESTRING (36.79485716357181 -1.2144919241218906, 36.794792 -1.21446, 36.793513298 -1.21373713017, 36.791645 -1.212335, 36.790269602849186 -1.211116583132971)",,10114111
at_stop,0.0,20.0,10.319427815376118,1635.0,POINT (36.79024 -1.21115),0101SHR,10114111
travelling,0.3144847224048425,44.0,10.63391253778096,1699.0,"LINESTRING (36.790269602849186 -1.211116583132971, 36.7902302742 -1.21108174324, 36.78821082136753 -1.2091685774451142)",,10114111
at_stop,0.0,20.0,10.63391253778096,1699.0,POINT (36.7882 -1.20918),0101DPB,10114111
travelling,0.3445714338309446,47.0,10.978483971611904,1766.0,"LINESTRING (36.78821082136753 -1.2091685774451142, 36.7881917953 -1.20915055275, 36.7873710394 -1.20828151703, 36.786411 -1.207459, 36.7858803833025 -1.2071403658370385)",,10114111
at_stop,0.0,20.0,10.978483971611904,1766.0,POINT (36.785877 -1.207146),0111RST,10114111
travelling,0.23468160018791323,35.0,11.213165571799818,1821.0,"LINESTRING (36.7858803833025 -1.2071403658370385, 36.7858690023 -1.20713353157, 36.784882 -1.206833, 36.7838519812 -1.20669364929, 36.7838271806346 -1.2066910658981322)",,10114111
at_stop,0.0,20.0,11.213165571799818,1821.0,POINT (36.78382 -1.20676),0101RCK,10114111
travelling,0.057264573419370156,16.0,11.270430145219189,1857.0,"LINESTRING (36.7838271806346 -1.2066910658981322, 36.7835944891 -1.2066668272, 36.7834335566 -1.20666146278, 36.78331525653999 -1.2066439368485111)",,10114111
at_stop,0.0,20.0,11.270430145219189,1857.0,POINT (36.78331017 -1.206678271),0111ICT,10114111
travelling,0.1792664090746692,29.0,11.449696554293858,1906.0,"LINESTRING (36.78331525653999 -1.2066439368485111, 36.7832887173 -1.20664000511, 36.782509 -1.206592, 36.78171816586437 -1.2064534049445688)",,10114111
at_stop,0.0,20.0,11.449696554293858,1906.0,POINT (36.78171 -1.2065),0101RDC,10114111
travelling,0.1328909802734805,24.0,11.582587534567338,1950.0,"LINESTRING (36.78171816586437 -1.2064534049445688, 36.7817115784 -1.20645225048, 36.781204 -1.206326, 36.78056016511256 -1.2061604638887808)",,10114111
at_stop,0.0,20.0,11.582587534567338,1950.0,POINT (36.78055 -1.2062),0101RCC,10114111
travelling,0.14241150907172206,25.0,11.72499904363906,1995.0,"LINESTRING (36.78056016511256 -1.2061604638887808, 36.7805474997 -1.20615720749, 36.7793565989 -1.20577633381, 36.779340690760606 -1.2057704779429252)",,10114111
at_stop,0.0,20.0,11.72499904363906,1995.0,POINT (36.77934051 -1.205770969),0111BPY,10114111
travelling,0.21012744426362623,32.0,11.935126487902687,2047.0,"LINESTRING (36.779340690760606 -1.2057704779429252, 36.778049 -1.205295, 36.777543284026 -1.2052103748198482)",,10114111
at_stop,0.0,20.0,11.935126487902687,2047.0,POINT (36.77754 -1.20523),0101SLT,10114111
travelling,0.10843291442609145,21.0,12.043559402328778,2088.0,"LINESTRING (36.777543284026 -1.2052103748198482, 36.7775273323 -1.2052077055, 36.77661425524805 -1.2049155208495659)",,10114111
at_stop,0.0,20.0,12.043559402328778,2088.0,POINT (36.77661002 -1.204928756),0111LON,10114111
travelling,0.141193432057048,25.0,12.184752834385826,2133.0,"LINESTRING (36.77661425524805 -1.2049155208495659, 36.7760521173 -1.20473563671, 36.7754083872 -1.20454788208, 36.77540010169331 -1.2045457039313334)",,10114111
at_stop,0.0,20.0,12.184752834385826,2133.0,POINT (36.77539229 -1.204575419),0111RNI,10114111
travelling,0.11591229665560601,22.0,12.300665131041432,2175.0,"LINESTRING (36.77540010169331 -1.2045457039313334, 36.77439241916163 -1.2042807976988794)",,10114111
at_stop,0.0,20.0,12.300665131041432,2175.0,POINT (36.77439 -1.20429),0101PMR,10114111
travelling,0.15749797297014,27.0,12.458163104011572,2222.0,"LINESTRING (36.77439241916163 -1.2042807976988794, 36.7743676901 -1.20427429676, 36.77303032782812 -1.2038944858727907)",,10114111
at_stop,0.0,20.0,12.458163104011572,2222.0,POINT (36.77303195 -1.203888774),0111MIF,10114111
travelling,0.09712387278428986,20.0,12.55528697679586,2262.0,"LINESTRING (36.77303032782812 -1.2038944858727907, 36.7730265856 -1.20389342308, 36.77219442842627 -1.203642205835101)",,10114111
at_stop,0.0,20.0,12.55528697679586,2262.0,POINT (36.77218 -1.20369),0101PMV,10114111
travelling,0.1032208865925306,21.0,12.658507863388392,2303.0,"LINESTRING (36.77219442842627 -1.203642205835101, 36.7721736431 -1.20363593102, 36.7713099718 -1.20337307453, 36.77130659120705 -1.2033723303743522)",,10114111
at_stop,0.0,20.0,12.658507863388392,2303.0,POINT (36.77130997 -1.203356981),0101IGA,10114111
travelling,0.09563458292299336,20.0,12.754142446311386,2343.0,"LINESTRING (36.77130659120705 -1.2033723303743522, 36.77046714387842 -1.203187546379428)",,10114111
at_stop,0.0,20.0,12.754142446311386,2343.0,POINT (36.77046 -1.20322),0111MCM,10114111
