trip_id,arrival_time,departure_time,stop_id,stop_sequence
1107D110,06:00:00,06:03:45,0213MRY,1
1107D110,06:06:04,06:07:00,0100OOA,2
1107D110,06:07:27,06:08:08,0100AWA,3
1107D110,06:08:40,06:09:26,0100TPS,4
1107D110,06:10:13,06:10:46,0100OTN,5
1107D110,06:11:58,06:12:48,0110LHL,6
1107D110,06:14:14,06:14:56,0110AOH,7
1107D110,06:15:26,06:16:14,0110ISR,8
1107D110,06:18:20,06:19:21,0100RJI,9
1107D110,06:19:42,06:20:34,0100JO.,10
1107D110,06:22:00,06:22:47,0100NRP,11
1107D110,06:24:13,06:24:58,0100AEL,12
1107D110,06:26:46,06:27:32,0100..M,13
1107D110,06:28:38,06:29:23,0100ANJ,14
1107D110,06:31:10,06:31:57,0100A.P,15
1107D110,06:33:36,06:34:31,0100ACP,16
1107D110,06:35:05,06:35:46,0100KHR,17
1107D110,06:36:51,06:38:01,0100PSA,18
1107D110,06:38:55,06:39:49,0110WOJ,19
1107D110,06:40:27,06:41:10,010044G,20
1107D110,06:44:16,06:45:01,0100ONO,21
1107D110,06:48:47,06:49:24,0100RUI,22
1107D110,06:51:03,06:51:54,0110SRT,23
1107D110,06:52:46,06:53:33,0110DAS,24
1107D110,06:54:41,06:55:29,0100TOR,25
1107D110,06:57:36,06:58:32,0110RID,26
1107D110,07:01:42,07:02:39,0100BKH,27
1107D110,07:04:46,07:05:47,0110TOH,28
1107D110,07:06:41,07:07:39,0100KWH,29
1107D110,07:09:12,07:10:14,0100RUD,30
1107D110,07:12:35,07:13:23,0110SOI,31
1107D110,07:14:38,07:15:12,0100MOU,32
1107D110,07:15:57,07:16:39,0110WRS,33
1107D110,07:18:12,07:19:02,0100AAA,34
1107D110,07:20:12,07:20:34,0100AMY,35
1107D110,07:21:26,07:22:16,0100ASW,36
1107D110,07:22:48,07:23:21,0110RTC,37
1107D110,07:24:13,07:27:58,0212RUS,38
1107D111,06:00:00,06:02:19,0212RUS,1
1107D111,06:03:00,06:03:57,0111ICT,2
1107D111,06:04:31,06:05:23,0101ARC,3
1107D111,06:06:15,06:06:47,0101AKN,4
1107D111,06:08:23,06:09:02,0111ALA,5
1107D111,06:10:19,06:10:52,0111VWS,6
1107D111,06:12:33,06:13:18,0101MIM,7
1107D111,06:15:39,06:16:23,0101RUD,8
1107D111,06:17:56,06:18:27,0101CEF,9
1107D111,06:19:14,06:19:58,0101OOO,10
1107D111,06:22:12,06:22:49,0101BKH,11
1107D111,06:26:02,06:26:58,0101WID,12
1107D111,06:30:02,06:30:51,0101DGG,13
1107D111,06:33:08,06:34:06,0101JLI,14
1107D111,06:34:25,06:35:16,0101RUA,15
1107D111,06:37:01,06:37:51,0111RAU,16
1107D111,06:40:54,06:41:39,0111NMO,17
1107D111,06:42:58,06:44:00,0111CNT,18
1107D111,06:44:54,06:45:56,01114IA,19
1107D111,06:46:44,06:47:54,0111AWM,20
1107D111,06:49:05,06:50:02,0111JM,21
1107D111,06:50:44,06:51:47,0101KHR,22
1107D111,06:54:37,06:55:18,0111.UK,23
1107D111,06:56:26,06:57:22,0111WNA,24
1107D111,06:58:37,06:59:22,0101M.K,25
1107D111,07:01:46,07:02:32,0111EYE,26
1107D111,07:03:01,07:03:41,0101NRP,27
1107D111,07:05:05,07:05:45,0111.OJ,28
1107D111,07:06:09,07:06:48,0101RJI,29
1107D111,07:08:52,07:09:51,0111RPS,30
1107D111,07:14:01,07:14:49,0111AYS,31
1107D111,07:17:07,07:19:26,0213MRY,32
