stop_id,stop_name,stop_lat,stop_lon
010044G,44 Githurai,-1.195514202,36.9026953
0100AAA,Sahala,-1.206232309,36.79068089
0100ACP,PCEA,-1.184212893,36.90751523
0100AEL,Membley Stage,-1.160296798,36.92236662
0100AMY,Kwa Nyama,-1.204494238,36.78601384
0100ANJ,Kwa Kiwanja,-1.171676248,36.91650867
0100A.P,A.P.,-1.178289056,36.91195965
0100ASW,Car Wash,-1.204816103,36.78255916
0100AWA,Wataalam,-1.149612397,36.94740772
0100BKH,Bypass Stage Kiambu,-1.215780973,36.83506072
0100JO.,O.J,-1.152970523,36.92023158
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817
0100KWH,Kwa Chief,-1.216485232,36.82175428
0100..M,K.M.,-1.167726517,36.91900849
0100MOU,Mugumo,-1.209636211,36.79986477
0100NRP,Round About Eastern Bypass,-1.155235,36.926119
0100ONO,Ngomongo,-1.202822059,36.89014524
0100OOA,Kwa Soko,-1.149789423,36.94882929
0100OTN,Hilton,-1.150637001,36.94259048
0100PSA,La Philla Carwash,-1.190634102,36.90608829
0100RJI,Ruiru Road Junction,-1.152105331,36.9199419
0100RUD,Runda Road,-1.215553,36.814957
0100RUI,Marurui/JuaKali,-1.211281747,36.87443823
0100TOR,Metro,-1.215183198,36.85956538
0100TPS,Post,-1.149687499,36.94552481
0101AKN,Kwa Nyama,-1.204490429,36.78601921
0101ARC,Car Wash,-1.204839116,36.78251624
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521
0101CEF,Kwa Chief,-1.216447681,36.8218857
0101DGG,Ridgesways Girls,-1.215046,36.864683
0101JLI,Jua Kali,-1.211161,36.874486
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667
0101MIM,Mimosa,-1.212005,36.804767
0101M.K,K.M.,-1.16617772,36.91985339
0101NRP,Roundabout Eastern Bypass,-1.155165,36.926129
0101OOO,Githogoro,-1.216517419,36.82500243
0101RJI,Ruiru Road Junction,-1.152135,36.91984
0101RUA,Marurui,-1.210805833,36.8751812
0101RUD,Runda Road,-1.215523,36.815038
0101WID,Windsor Advice,-1.215566,36.850327
0110AOH,Mama Shop,-1.1517528,36.93119645
0110DAS,Ridgeways Girls,-1.214993119,36.86438799
0110ISR,Ruiru Prisons,-1.151870817,36.92952543
0110LHL,Full Gospel Church,-1.151017874,36.93746209
0110RID,Windsor Advice,-1.215743423,36.84993625
0110RTC,Ruaka Quickmart,-1.206689805,36.78235799
0110SOI,Mimosa,-1.212091684,36.8047142
0110SRT,Marurui Police Post,-1.214639872,36.86785609
0110TOH,Githogoro,-1.216533512,36.82539135
0110WOJ,Maziwa Junction,-1.193992227,36.90453798
0110WRS,Two Rivers,-1.208241641,36.79728448
01114IA,44 Githurai,-1.19544062,36.90279722
0111ALA,Sahala,-1.20683468,36.79277837
0111AWM,Maziwa,-1.193209022,36.90509319
0111AYS,Gitambaya Police Post,-1.149767965,36.94896609
0111CNT,Container,-1.197221607,36.89955175
0111EYE,Membley,-1.156393021,36.92510515
0111ICT,Quickmart,-1.206678271,36.78331017
0111JM,JM,-1.188322037,36.90638065
0111NMO,Ngomongo,-1.200252503,36.89471304
0111.OJ,O.J.,-1.153206557,36.92035228
0111RAU,Quarry,-1.207043856,36.88213885
0111RPS,Ruiru Prisons,-1.151827,36.929292
0111.UK,K.U.,-1.174814433,36.9143039
0111VWS,Two Rivers,-1.208490729,36.79807305
0111WNA,Kwa Kiwanja,-1.170839399,36.91703171
0212RUS,Ruaka Stage,-1.207161,36.785845
0213MRY,Ruiru,-1.147668958,36.95931673
